now,num,alpha_deg,Theta,K,K_file,g,omega,theta_0,surface_temp,gamma,dt,output_path,Completed
,10,0.96,100.0,,K/testdata/test_num10.nc,3.72,7.08e-05,210.0,GroundTemp_sin.nc,0.00402,0.1,output/validation_dn_before,
,10,0.96,100.0,,K/testdata/test_num10.nc,9.81,7.28e-05,288.0,GroundTemp_sin.nc,0.003,0.1,output/validation_dn_before,
,10,0.96,100.0,,K/testdata/test_num10.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after,
,10,0.96,100.0,,K/testdata/test_num10.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after,
,10,0.96,100.0,,K/testdata/test_num10.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after,
,10,0.96,100.0,,K/testdata/test_num10.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after,
,10,0.96,100.0,,K/testdata/test_num10.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after,0
,260,0.96,100.0,,K/AllDay_100.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after,
,260,0.24,100.0,,K/AllDay_100.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after,
,260,0.41,100.0,,K/AllDay_100.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after,
,260,30,100.0,,K/AllDay_100.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after,
,10,0.24,100.0,,K/testdata/test_num10.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_before,
,10,0.41,100.0,,K/testdata/test_num10.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_before,
,10,0.41,100.0,,K/testdata/test_num10_2.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_before/K_variable,
,10,0.24,100.0,,K/testdata/test_num10_2.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_before/K_variable,
,10,0.98,100.0,,K/testdata/test_num10_2.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_before/K_variable,
,10,30.0,100.0,,K/testdata/test_num10_2.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_before/K_variable,
,10,0.1,100.0,,K/testdata/test_num10_2.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_before/K_variable,
,10,0.41,100.0,,K/testdata/test_num10_2.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after/K_variable,
,10,0.24,100.0,,K/testdata/test_num10_2.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after/K_variable,
,10,0.98,100.0,,K/testdata/test_num10_2.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after/K_variable,
